Story,Task,Estimate min (hr),Estimate max (hr),Actual,Comment
Planning,"Understand requirements, list features",1,1,1,
,define architecture,1,2,3,
,think about UI/UX,1,2,2,
Backend Setup,Initiallize repo and project structure,1,1,1,
Feat: Prompt input and parameter controls,Build prompt input text area,1,2,3,
,"Add parameter inputs (temperature, top_p)",1,1,1,
,Add model selection dropdown (single or multiple models),1,1,1,
,Handle logic: if single model → parameter ranges; if multiple → single param values,1,1,1,
Feat: Reposnse Generation,Implement backend endpoint to handle multiple LLM calls or mock responses,3,5,7(continued),
,Return all responses with corresponding parameters,1,2,2,
Feat: Quality Metrics,Design custom metrics,2,3,1,
,Implement metric computation logic in backend,2,4,2,
Feat: Comparison Dashboard,Build UI to display all responses side-by-side,3,4,1,
,Create visualization (charts/graphs) for comparing metrics,3,5,2,
Feat: Experiment Persistence,Implement database model for experiments,1,2,1,
,Build API endpoints to save/retrieve experiments,2,3,2,
,Frontend UI for viewing saved experiments,3,4,,
Feat: Export Experiment,Implement export,4,5,,
,Add UI button and backend logic for export,1,2,,
Delpoyment,deploy backend and frontend,1,2,,
Documentation and demo,write readme and record demo video,2,3,,
,,,,,
,Total=,36,55,,
